logm,logphi,upper_error,lower_error
9.013996889580094,-1.751662778641784,-1.7369399084154145,-1.757217038189045
9.065318818040435,-1.7608151892172117,-1.7476177207534134,-1.7694202522896152
9.139968895800934,-1.774127786417834,-1.7631490841541393,-1.787170381890445
9.186625194401245,-1.7834562254139612,-1.773456225413961,-1.798456225413961
9.237947122861586,-1.7963772756380938,-1.7863772756380938,-1.811377275638094
9.349922239502332,-1.8288046334531025,-1.8188046334531025,-1.8438046334531026
9.415241057542769,-1.8474828761457271,-1.8374828761457271,-1.863106449157871
9.573872472783826,-1.8908196287349863,-1.8808196287349863,-1.9100545977962353
9.629860031104199,-1.9081781284375836,-1.8981781284375836,-1.9281781284375838
9.755832037325039,-1.9542039980275392,-1.9442039980275392,-1.9742039980275394
9.8398133748056,-1.9858546585607249,-1.9758546585607246,-2.005854658560725
9.979782270606531,-2.04031528347236,-2.03031528347236,-2.0603152834723604
10.049766718506998,-2.07347316212013,-2.06347316212013,-2.094777226682359
10.175738724727838,-2.1390466983313026,-2.1290466983313023,-2.1639937371274858
10.250388802488336,-2.1904162473698667,-2.1758329521544244,-2.2108329521544245
10.381026438569208,-2.283465526179369,-2.272888802488337,-2.303465526179369
10.455676516329705,-2.3539982226171974,-2.343998222617197,-2.3739982226171974
10.565318818040435,-2.4661782761725473,-2.456178276172547,-2.485920847998691
10.614307931570762,-2.532390930670378,-2.522390930670378,-2.5493746418924457
10.656298600311043,-2.5898083579992996,-2.5798083579992994,-2.60550895499925
10.758942457231726,-2.7386088396127017,-2.728608839612702,-2.7649380424421808
10.79860031104199,-2.79840435458787,-2.78840435458787,-2.8281041990668747
10.847589424572316,-2.8962519440124406,-2.8862519440124403,-2.9224572317262822
10.964230171073094,-3.164797822706063,-3.1547978227060627,-3.1897978227060633
11.001555209953343,-3.2599934202655803,-3.24999342026558,-3.291659289388681
11.043545878693624,-3.375161815892767,-3.3651618158927668,-3.419934088721028
11.06687402799378,-3.455988298896544,-3.445988298896544,-3.497194697474638
11.150855365474339,-3.75214858236631,-3.74214858236631,-3.783026677832275
11.188180404354588,-3.899611197511665,-3.889611197511665,-3.9335614307931586
11.220839813374806,-4.039066874027994,-4.029066874027994,-4.079875583203733
11.253499222395023,-4.185854908059646,-4.175854908059646,-4.236147653462629
11.276827371695179,-4.303319001006313,-4.293319001006314,-4.359484951056629
11.332814930015552,-4.586227060653192,-4.576227060653192,-4.656449455676522
11.356143079315707,-4.726009331259725,-4.716009331259724,-4.801223950233287
11.384136858475895,-4.899372731985495,-4.889372731985494,-4.980578019699337
11.40746500777605,-5.062452047693113,-5.052452047693113,-5.148649559357189
11.426127527216174,-5.192915500259203,-5.1829155002592024,-5.283106791083465
11.444790046656298,-5.323378952825292,-5.313378952825293,-5.417564022809741
11.468118195956453,-5.492027993779154,-5.4820279937791545,-5.584939346811814
11.519440124416796,-5.91852255054433,-5.883182348367036,-5.995
11.542768273716952,-6.0,-5.995,-5.995
11.5800933125972,-6.0,-5.995,-5.995
11.608087091757387,-6.0,-5.995,-5.995
11.636080870917574,-6.0,-5.995,-5.995
11.673405909797822,-6.0,-5.995,-5.995
11.706065318818041,-6.0,-5.995,-5.995
11.724727838258165,-6.0,-5.995,-5.995
11.74805598755832,-6.0,-5.995,-5.995
11.766718506998444,-6.0,-5.995,-5.995
11.780715396578538,-6.0,-5.995,-5.995
11.808709175738725,-6.0,-5.995,-5.995
